Anio,Mes,Num_Mes,Fecha,Provincia,Distrito,Categoria_enfermedad,Sexo,Nro_casos
2014,Enero,01,2014-01-01,Lima,ANCON,HIPERTENSION ESENCIAL (PRIMARIA),Femenino,10
2014,Enero,01,2014-01-01,Lima,ANCON,HIPERTENSION ESENCIAL (PRIMARIA),Masculino,3
2014,Febrero,02,2014-02-01,Lima,ANCON,HIPERTENSION ESENCIAL (PRIMARIA),Femenino,11
2014,Febrero,02,2014-02-01,Lima,ANCON,HIPERTENSION ESENCIAL (PRIMARIA),Masculino,2
2014,Marzo,03,2014-03-01,Lima,ANCON,HIPERTENSION ESENCIAL (PRIMARIA),Femenino,11
2014,Marzo,03,2014-03-01,Lima,ANCON,HIPERTENSION ESENCIAL (PRIMARIA),Masculino,2
2014,Abril,04,2014-04-01,Lima,ANCON,HIPERTENSION ESENCIAL (PRIMARIA),Femenino,11
2014,Abril,04,2014-04-01,Lima,ANCON,HIPERTENSION ESENCIAL (PRIMARIA),Masculino,8
2014,Mayo,05,2014-05-01,Lima,ANCON,HIPERTENSION ESENCIAL (PRIMARIA),Femenino,3
2014,Mayo,05,2014-05-01,Lima,ANCON,HIPERTENSION ESENCIAL (PRIMARIA),Masculino,2
2014,Junio,06,2014-06-01,Lima,ANCON,HIPERTENSION ESENCIAL (PRIMARIA),Femenino,3
2014,Junio,06,2014-06-01,Lima,ANCON,HIPERTENSION ESENCIAL (PRIMARIA),Masculino,0
2014,Julio,07,2014-07-01,Lima,ANCON,HIPERTENSION ESENCIAL (PRIMARIA),Femenino,1
2014,Julio,07,2014-07-01,Lima,ANCON,HIPERTENSION ESENCIAL (PRIMARIA),Masculino,0
2014,Agosto,08,2014-08-01,Lima,ANCON,HIPERTENSION ESENCIAL (PRIMARIA),Femenino,10
2014,Agosto,08,2014-08-01,Lima,ANCON,HIPERTENSION ESENCIAL (PRIMARIA),Masculino,0
2014,Setiembre,09,2014-09-01,Lima,ANCON,HIPERTENSION ESENCIAL (PRIMARIA),Femenino,8
2014,Setiembre,09,2014-09-01,Lima,ANCON,HIPERTENSION ESENCIAL (PRIMARIA),Masculino,5
2014,Octubre,10,2014-10-01,Lima,ANCON,HIPERTENSION ESENCIAL (PRIMARIA),Femenino,7
2014,Octubre,10,2014-10-01,Lima,ANCON,HIPERTENSION ESENCIAL (PRIMARIA),Masculino,1
2014,Noviembre,11,2014-11-01,Lima,ANCON,HIPERTENSION ESENCIAL (PRIMARIA),Femenino,9
2014,Noviembre,11,2014-11-01,Lima,ANCON,HIPERTENSION ESENCIAL (PRIMARIA),Masculino,2
2014,Diciembre,12,2014-12-01,Lima,ANCON,HIPERTENSION ESENCIAL (PRIMARIA),Femenino,0
2014,Diciembre,12,2014-12-01,Lima,ANCON,HIPERTENSION ESENCIAL (PRIMARIA),Masculino,0
2014,Enero,01,2014-01-01,Lima,ANCON,HIPERTENSION SECUNDARIA,Femenino,2
2014,Enero,01,2014-01-01,Lima,ANCON,HIPERTENSION SECUNDARIA,Masculino,3
2014,Febrero,02,2014-02-01,Lima,ANCON,HIPERTENSION SECUNDARIA,Femenino,1
2014,Febrero,02,2014-02-01,Lima,ANCON,HIPERTENSION SECUNDARIA,Masculino,0
2014,Marzo,03,2014-03-01,Lima,ANCON,HIPERTENSION SECUNDARIA,Femenino,0
2014,Marzo,03,2014-03-01,Lima,ANCON,HIPERTENSION SECUNDARIA,Masculino,0
2014,Abril,04,2014-04-01,Lima,ANCON,HIPERTENSION SECUNDARIA,Femenino,0
2014,Abril,04,2014-04-01,Lima,ANCON,HIPERTENSION SECUNDARIA,Masculino,1
2014,Mayo,05,2014-05-01,Lima,ANCON,HIPERTENSION SECUNDARIA,Femenino,1
2014,Mayo,05,2014-05-01,Lima,ANCON,HIPERTENSION SECUNDARIA,Masculino,2
2014,Junio,06,2014-06-01,Lima,ANCON,HIPERTENSION SECUNDARIA,Femenino,0
2014,Junio,06,2014-06-01,Lima,ANCON,HIPERTENSION SECUNDARIA,Masculino,0
2014,Julio,07,2014-07-01,Lima,ANCON,HIPERTENSION SECUNDARIA,Femenino,0
2014,Julio,07,2014-07-01,Lima,ANCON,HIPERTENSION SECUNDARIA,Masculino,0
2014,Agosto,08,2014-08-01,Lima,ANCON,HIPERTENSION SECUNDARIA,Femenino,0
2014,Agosto,08,2014-08-01,Lima,ANCON,HIPERTENSION SECUNDARIA,Masculino,0
2014,Setiembre,09,2014-09-01,Lima,ANCON,HIPERTENSION SECUNDARIA,Femenino,0
2014,Setiembre,09,2014-09-01,Lima,ANCON,HIPERTENSION SECUNDARIA,Masculino,0
2014,Octubre,10,2014-10-01,Lima,ANCON,HIPERTENSION SECUNDARIA,Femenino,0
2014,Octubre,10,2014-10-01,Lima,ANCON,HIPERTENSION SECUNDARIA,Masculino,1
2014,Noviembre,11,2014-11-01,Lima,ANCON,HIPERTENSION SECUNDARIA,Femenino,1
2014,Noviembre,11,2014-11-01,Lima,ANCON,HIPERTENSION SECUNDARIA,Masculino,0
2014,Diciembre,12,2014-12-01,Lima,ANCON,HIPERTENSION SECUNDARIA,Femenino,0
2014,Diciembre,12,2014-12-01,Lima,ANCON,HIPERTENSION SECUNDARIA,Masculino,0
2014,Enero,01,2014-01-01,Lima,ANCON,OTRAS ARRITMIAS CARDIACAS,Femenino,0
2014,Enero,01,2014-01-01,Lima,ANCON,OTRAS ARRITMIAS CARDIACAS,Masculino,0
2014,Febrero,02,2014-02-01,Lima,ANCON,OTRAS ARRITMIAS CARDIACAS,Femenino,2
2014,Febrero,02,2014-02-01,Lima,ANCON,OTRAS ARRITMIAS CARDIACAS,Masculino,2
2014,Marzo,03,2014-03-01,Lima,ANCON,OTRAS ARRITMIAS CARDIACAS,Femenino,1
2014,Marzo,03,2014-03-01,Lima,ANCON,OTRAS ARRITMIAS CARDIACAS,Masculino,1
2014,Abril,04,2014-04-01,Lima,ANCON,OTRAS ARRITMIAS CARDIACAS,Femenino,0
2014,Abril,04,2014-04-01,Lima,ANCON,OTRAS ARRITMIAS CARDIACAS,Masculino,0
2014,Mayo,05,2014-05-01,Lima,ANCON,OTRAS ARRITMIAS CARDIACAS,Femenino,0
2014,Mayo,05,2014-05-01,Lima,ANCON,OTRAS ARRITMIAS CARDIACAS,Masculino,0
2014,Junio,06,2014-06-01,Lima,ANCON,OTRAS ARRITMIAS CARDIACAS,Femenino,0
2014,Junio,06,2014-06-01,Lima,ANCON,OTRAS ARRITMIAS CARDIACAS,Masculino,0
